"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8","gene","Uniprot","eval","Prot.ID","Rev","Prot.Name.Long","Prot.Name.Short","Taxa","Num","GO1","GO2","GO3","GO4","GO.IDs","KEGG","KEGG.Path"
"39",45,83,195,47,29,25,539,197,107,39,509,62,295,107,86,58,167,69,"g40284","Q9HAR2",5.94e-74,"AGRL3_HUMAN","reviewed","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)","ADGRL3 KIAA0768 LEC3 LPHN3","Homo sapiens (Human)",1447,"adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; brain development [GO:0007420]; cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotion involved in locomotory behavior [GO:0031987]; neuron migration [GO:0001764]; positive regulation of synapse assembly [GO:0051965]; response to cocaine [GO:0042220]; synapse assembly [GO:0007416]","axon [GO:0030424]; cell-cell junction [GO:0005911]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]","axon [GO:0030424]; cell-cell junction [GO:0005911]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; brain development [GO:0007420]; cell surface receptor signaling pathway [GO:0007166]; cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotion involved in locomotory behavior [GO:0031987]; neuron migration [GO:0001764]; positive regulation of synapse assembly [GO:0051965]; response to cocaine [GO:0042220]; synapse assembly [GO:0007416]","calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]","GO:0001764; GO:0004930; GO:0005509; GO:0005887; GO:0005911; GO:0007166; GO:0007186; GO:0007189; GO:0007416; GO:0007420; GO:0016021; GO:0030246; GO:0030424; GO:0031987; GO:0042220; GO:0051965; GO:0098742; GO:0098978","K04594;","hsa:23284;"
"40",185,241,312,221,177,178,162,324,290,204,313,230,324,249,453,159,362,366,"g41210","Q8WUB8",2.43e-114,"PHF10_HUMAN","reviewed","PHD finger protein 10 (BRG1-associated factor 45a) (BAF45a) (XAP135)","PHF10 BAF45A","Homo sapiens (Human)",498,"negative regulation of transcription, DNA-templated [GO:0045892]; nervous system development [GO:0007399]; positive regulation of transcription by RNA polymerase II [GO:0045944]","histone acetyltransferase complex [GO:0000123]; npBAF complex [GO:0071564]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","histone acetyltransferase complex [GO:0000123]; npBAF complex [GO:0071564]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; histone acetyltransferase activity [GO:0004402]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; negative regulation of transcription, DNA-templated [GO:0045892]; nervous system development [GO:0007399]; positive regulation of transcription by RNA polymerase II [GO:0045944]","histone acetyltransferase activity [GO:0004402]; histone binding [GO:0042393]; metal ion binding [GO:0046872]","GO:0000123; GO:0000790; GO:0004402; GO:0005634; GO:0005654; GO:0007399; GO:0042393; GO:0045892; GO:0045944; GO:0046872; GO:0071564","K22197;","hsa:55274;"
"41",104,173,179,143,82,89,49,159,178,111,114,121,55,138,177,33,92,189,"g41478","Q5FYB1",0,"ARSI_HUMAN","reviewed","Arylsulfatase I (ASI) (EC 3.1.6.-)","ARSI","Homo sapiens (Human)",569,"","endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]","endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]","arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]","GO:0004065; GO:0005576; GO:0005788; GO:0046872","K12375;","hsa:340075;"
"42",109,100,104,216,114,177,10,61,134,57,51,74,7,45,34,4,34,24,"g41788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",536,428,741,635,381,386,245,617,591,402,449,421,228,174,395,153,315,258,"g47496","Q5S007",1.76e-68,"LRRK2_HUMAN","reviewed","Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin)","LRRK2 PARK8","Homo sapiens (Human)",2527,"activation of MAPK activity [GO:0000187]; activation of MAPKK activity [GO:0000186]; autophagy [GO:0006914]; calcium-mediated signaling [GO:0019722]; canonical Wnt signaling pathway [GO:0060070]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to manganese ion [GO:0071287]; cellular response to oxidative stress [GO:0034599]; cellular response to starvation [GO:0009267]; determination of adult lifespan [GO:0008340]; endocytosis [GO:0006897]; endoplasmic reticulum organization [GO:0007029]; excitatory postsynaptic potential [GO:0060079]; exploration behavior [GO:0035640]; Golgi organization [GO:0007030]; GTP metabolic process [GO:0046039]; intracellular distribution of mitochondria [GO:0048312]; intracellular signal transduction [GO:0035556]; locomotory exploration behavior [GO:0035641]; lysosome organization [GO:0007040]; MAPK cascade [GO:0000165]; mitochondrion localization [GO:0051646]; mitochondrion organization [GO:0007005]; negative regulation of autophagosome assembly [GO:1902902]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of GTPase activity [GO:0034260]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of late endosome to lysosome transport [GO:1902823]; negative regulation of macroautophagy [GO:0016242]; negative regulation of neuron death [GO:1901215]; negative regulation of neuron projection development [GO:0010977]; negative regulation of protein binding [GO:0032091]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein processing [GO:0010955]; negative regulation of protein processing involved in protein targeting to mitochondrion [GO:1903217]; negative regulation of protein targeting to mitochondrion [GO:1903215]; negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation [GO:1903125]; neuromuscular junction development [GO:0007528]; neuron death [GO:0070997]; neuron projection arborization [GO:0140058]; neuron projection morphogenesis [GO:0048812]; olfactory bulb development [GO:0021772]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; phosphorylation [GO:0016310]; positive regulation of autophagy [GO:0010508]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of dopamine receptor signaling pathway [GO:0060161]; positive regulation of histone deacetylase activity [GO:1901727]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of programmed cell death [GO:0043068]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein autoubiquitination [GO:1902499]; positive regulation of protein binding [GO:0032092]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of synaptic vesicle endocytosis [GO:1900244]; positive regulation of tumor necrosis factor secretion [GO:1904469]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to mitochondrion [GO:0070585]; protein phosphorylation [GO:0006468]; reactive oxygen species metabolic process [GO:0072593]; regulation of autophagy [GO:0010506]; regulation of branching morphogenesis of a nerve [GO:2000172]; regulation of CAMKK-AMPK signaling cascade [GO:1905289]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of dopamine receptor signaling pathway [GO:0060159]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of kidney size [GO:0035564]; regulation of locomotion [GO:0040012]; regulation of lysosomal lumen pH [GO:0035751]; regulation of membrane potential [GO:0042391]; regulation of mitochondrial depolarization [GO:0051900]; regulation of mitochondrial fission [GO:0090140]; regulation of neuroblast proliferation [GO:1902692]; regulation of neuron death [GO:1901214]; regulation of neuron maturation [GO:0014041]; regulation of protein kinase A signaling [GO:0010738]; regulation of protein stability [GO:0031647]; regulation of retrograde transport, endosome to Golgi [GO:1905279]; regulation of synaptic transmission, glutamatergic [GO:0051966]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of synaptic vesicle transport [GO:1902803]; response to oxidative stress [GO:0006979]; spermatogenesis [GO:0007283]; striatum development [GO:0021756]; tangential migration from the subventricular zone to the olfactory bulb [GO:0022028]; Wnt signalosome assembly [GO:1904887]","amphisome [GO:0044753]; autolysosome [GO:0044754]; axon [GO:0030424]; caveola neck [GO:0099400]; cell [GO:0005623]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytoplasmic side of mitochondrial outer membrane [GO:0032473]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendrite cytoplasm [GO:0032839]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; Golgi membrane [GO:0000139]; growth cone [GO:0030426]; inclusion body [GO:0016234]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane raft [GO:0045121]; microvillus [GO:0005902]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; multivesicular body, internal vesicle [GO:0097487]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynaptic cytosol [GO:0099523]; ribonucleoprotein complex [GO:1990904]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195]; trans-Golgi network [GO:0005802]; Wnt signalosome [GO:1990909]","amphisome [GO:0044753]; autolysosome [GO:0044754]; axon [GO:0030424]; caveola neck [GO:0099400]; cell [GO:0005623]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytoplasmic side of mitochondrial outer membrane [GO:0032473]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendrite cytoplasm [GO:0032839]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi-associated vesicle [GO:0005798]; growth cone [GO:0030426]; inclusion body [GO:0016234]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane raft [GO:0045121]; microvillus [GO:0005902]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; multivesicular body, internal vesicle [GO:0097487]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynaptic cytosol [GO:0099523]; ribonucleoprotein complex [GO:1990904]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195]; trans-Golgi network [GO:0005802]; Wnt signalosome [GO:1990909]; actin binding [GO:0003779]; ATP binding [GO:0005524]; beta-catenin destruction complex binding [GO:1904713]; clathrin binding [GO:0030276]; co-receptor binding [GO:0039706]; GTP binding [GO:0005525]; GTP-dependent protein kinase activity [GO:0034211]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; MAP kinase kinase activity [GO:0004708]; microtubule binding [GO:0008017]; peroxidase inhibitor activity [GO:0036479]; protein homodimerization activity [GO:0042803]; protein kinase A binding [GO:0051018]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; receptor signaling complex adaptor activity [GO:0030159]; Rho GTPase binding [GO:0017048]; SNARE binding [GO:0000149]; syntaxin-1 binding [GO:0017075]; tubulin binding [GO:0015631]; activation of MAPK activity [GO:0000187]; activation of MAPKK activity [GO:0000186]; autophagy [GO:0006914]; calcium-mediated signaling [GO:0019722]; canonical Wnt signaling pathway [GO:0060070]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to manganese ion [GO:0071287]; cellular response to oxidative stress [GO:0034599]; cellular response to starvation [GO:0009267]; determination of adult lifespan [GO:0008340]; endocytosis [GO:0006897]; endoplasmic reticulum organization [GO:0007029]; excitatory postsynaptic potential [GO:0060079]; exploration behavior [GO:0035640]; Golgi organization [GO:0007030]; GTP metabolic process [GO:0046039]; intracellular distribution of mitochondria [GO:0048312]; intracellular signal transduction [GO:0035556]; locomotory exploration behavior [GO:0035641]; lysosome organization [GO:0007040]; MAPK cascade [GO:0000165]; mitochondrion localization [GO:0051646]; mitochondrion organization [GO:0007005]; negative regulation of autophagosome assembly [GO:1902902]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of GTPase activity [GO:0034260]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of late endosome to lysosome transport [GO:1902823]; negative regulation of macroautophagy [GO:0016242]; negative regulation of neuron death [GO:1901215]; negative regulation of neuron projection development [GO:0010977]; negative regulation of protein binding [GO:0032091]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein processing [GO:0010955]; negative regulation of protein processing involved in protein targeting to mitochondrion [GO:1903217]; negative regulation of protein targeting to mitochondrion [GO:1903215]; negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation [GO:1903125]; neuromuscular junction development [GO:0007528]; neuron death [GO:0070997]; neuron projection arborization [GO:0140058]; neuron projection morphogenesis [GO:0048812]; olfactory bulb development [GO:0021772]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; phosphorylation [GO:0016310]; positive regulation of autophagy [GO:0010508]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of dopamine receptor signaling pathway [GO:0060161]; positive regulation of histone deacetylase activity [GO:1901727]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of programmed cell death [GO:0043068]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein autoubiquitination [GO:1902499]; positive regulation of protein binding [GO:0032092]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of synaptic vesicle endocytosis [GO:1900244]; positive regulation of tumor necrosis factor secretion [GO:1904469]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to mitochondrion [GO:0070585]; protein phosphorylation [GO:0006468]; reactive oxygen species metabolic process [GO:0072593]; regulation of autophagy [GO:0010506]; regulation of branching morphogenesis of a nerve [GO:2000172]; regulation of CAMKK-AMPK signaling cascade [GO:1905289]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of dopamine receptor signaling pathway [GO:0060159]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of kidney size [GO:0035564]; regulation of locomotion [GO:0040012]; regulation of lysosomal lumen pH [GO:0035751]; regulation of membrane potential [GO:0042391]; regulation of mitochondrial depolarization [GO:0051900]; regulation of mitochondrial fission [GO:0090140]; regulation of neuroblast proliferation [GO:1902692]; regulation of neuron death [GO:1901214]; regulation of neuron maturation [GO:0014041]; regulation of protein kinase A signaling [GO:0010738]; regulation of protein stability [GO:0031647]; regulation of retrograde transport, endosome to Golgi [GO:1905279]; regulation of synaptic transmission, glutamatergic [GO:0051966]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of synaptic vesicle transport [GO:1902803]; response to oxidative stress [GO:0006979]; spermatogenesis [GO:0007283]; striatum development [GO:0021756]; tangential migration from the subventricular zone to the olfactory bulb [GO:0022028]; Wnt signalosome assembly [GO:1904887]","actin binding [GO:0003779]; ATP binding [GO:0005524]; beta-catenin destruction complex binding [GO:1904713]; clathrin binding [GO:0030276]; co-receptor binding [GO:0039706]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP-dependent protein kinase activity [GO:0034211]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; MAP kinase kinase activity [GO:0004708]; microtubule binding [GO:0008017]; peroxidase inhibitor activity [GO:0036479]; protein homodimerization activity [GO:0042803]; protein kinase A binding [GO:0051018]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; receptor signaling complex adaptor activity [GO:0030159]; Rho GTPase binding [GO:0017048]; SNARE binding [GO:0000149]; syntaxin-1 binding [GO:0017075]; tubulin binding [GO:0015631]","GO:0000139; GO:0000149; GO:0000165; GO:0000186; GO:0000187; GO:0000287; GO:0001933; GO:0001934; GO:0003779; GO:0003924; GO:0004672; GO:0004674; GO:0004708; GO:0005096; GO:0005524; GO:0005525; GO:0005615; GO:0005623; GO:0005654; GO:0005737; GO:0005739; GO:0005741; GO:0005743; GO:0005759; GO:0005764; GO:0005768; GO:0005783; GO:0005789; GO:0005794; GO:0005798; GO:0005802; GO:0005829; GO:0005886; GO:0005902; GO:0006468; GO:0006606; GO:0006897; GO:0006914; GO:0006979; GO:0007005; GO:0007029; GO:0007030; GO:0007040; GO:0007283; GO:0007528; GO:0008017; GO:0008340; GO:0009267; GO:0010506; GO:0010508; GO:0010738; GO:0010955; GO:0010977; GO:0014041; GO:0015631; GO:0016234; GO:0016242; GO:0016301; GO:0016310; GO:0017048; GO:0017075; GO:0018105; GO:0018107; GO:0019722; GO:0021756; GO:0021772; GO:0022028; GO:0030054; GO:0030159; GO:0030276; GO:0030424; GO:0030425; GO:0030426; GO:0030672; GO:0031398; GO:0031410; GO:0031647; GO:0031966; GO:0032091; GO:0032092; GO:0032436; GO:0032473; GO:0032839; GO:0034211; GO:0034260; GO:0034599; GO:0034613; GO:0035556; GO:0035564; GO:0035640; GO:0035641; GO:0035751; GO:0036479; GO:0039706; GO:0040012; GO:0042391; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0043068; GO:0043195; GO:0043204; GO:0043231; GO:0043406; GO:0044325; GO:0044753; GO:0044754; GO:0045121; GO:0046039; GO:0046777; GO:0048312; GO:0048812; GO:0051018; GO:0051646; GO:0051770; GO:0051900; GO:0051966; GO:0060070; GO:0060079; GO:0060159; GO:0060161; GO:0060628; GO:0060828; GO:0061001; GO:0070062; GO:0070585; GO:0070971; GO:0070973; GO:0070997; GO:0071287; GO:0072593; GO:0090140; GO:0090263; GO:0090394; GO:0097487; GO:0098794; GO:0098978; GO:0099400; GO:0099523; GO:0140058; GO:1900244; GO:1901214; GO:1901215; GO:1901727; GO:1902236; GO:1902499; GO:1902692; GO:1902803; GO:1902823; GO:1902902; GO:1903125; GO:1903206; GO:1903215; GO:1903217; GO:1903351; GO:1903980; GO:1904469; GO:1904713; GO:1904887; GO:1905279; GO:1905289; GO:1990904; GO:1990909; GO:2000172; GO:2000300","K08844;","hsa:120892;"
"44",13,17,66,23,30,13,71,92,152,132,71,98,96,175,119,39,50,97,"g47579","Q9JHB3",7.18e-10,"TIMP4_MOUSE","reviewed","Metalloproteinase inhibitor 4 (Tissue inhibitor of metalloproteinases 4) (TIMP-4)","Timp4","Mus musculus (Mouse)",224,"central nervous system development [GO:0007417]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of membrane protein ectodomain proteolysis [GO:0051045]; Notch signaling pathway [GO:0007219]; ovulation cycle [GO:0042698]; response to cytokine [GO:0034097]; response to drug [GO:0042493]; response to hormone [GO:0009725]; response to lipopolysaccharide [GO:0032496]; response to organic substance [GO:0010033]; response to peptide hormone [GO:0043434]","extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; sarcomere [GO:0030017]","extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; sarcomere [GO:0030017]; metalloendopeptidase inhibitor activity [GO:0008191]; protease binding [GO:0002020]; zinc ion binding [GO:0008270]; central nervous system development [GO:0007417]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of membrane protein ectodomain proteolysis [GO:0051045]; Notch signaling pathway [GO:0007219]; ovulation cycle [GO:0042698]; response to cytokine [GO:0034097]; response to drug [GO:0042493]; response to hormone [GO:0009725]; response to lipopolysaccharide [GO:0032496]; response to organic substance [GO:0010033]; response to peptide hormone [GO:0043434]","metalloendopeptidase inhibitor activity [GO:0008191]; protease binding [GO:0002020]; zinc ion binding [GO:0008270]","GO:0002020; GO:0005615; GO:0007219; GO:0007417; GO:0008191; GO:0008270; GO:0009725; GO:0010033; GO:0010951; GO:0030017; GO:0031012; GO:0032496; GO:0034097; GO:0042493; GO:0042698; GO:0043434; GO:0051045","K22584;","mmu:110595;"
"45",11,10,9,36,15,2,10,6,12,22,23,5,19,3,6,9,22,0,"g47803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",124,126,281,216,122,66,109,372,482,194,276,153,505,426,751,219,520,562,"g48266","Q496Y0",1.81e-104,"LONF3_HUMAN","reviewed","LON peptidase N-terminal domain and RING finger protein 3 (RING finger protein 127)","LONRF3 RNF127","Homo sapiens (Human)",759,"","","metal ion binding [GO:0046872]","metal ion binding [GO:0046872]","GO:0046872","","hsa:79836;"
"47",10,24,10,16,11,34,127,63,129,29,246,20,35,7,17,19,50,30,"g48277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",220,100,87,240,222,53,158,87,91,175,271,64,226,70,50,129,271,47,"g48602","P97819",0,"PLPL9_MOUSE","reviewed","85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)","Pla2g6 Pnpla9","Mus musculus (Mouse)",807,"antibacterial humoral response [GO:0019731]; cardiolipin biosynthetic process [GO:0032049]; chemotaxis [GO:0006935]; lipid catabolic process [GO:0016042]; maternal process involved in female pregnancy [GO:0060135]; memory [GO:0007613]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; positive regulation of arachidonic acid secretion [GO:0090238]; positive regulation of blood vessel diameter [GO:0097755]; positive regulation of ceramide biosynthetic process [GO:2000304]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of exocytosis [GO:0045921]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of protein kinase C signaling [GO:0090037]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; regulation of store-operated calcium channel activity [GO:1901339]; response to endoplasmic reticulum stress [GO:0034976]; urinary bladder smooth muscle contraction [GO:0014832]","cell [GO:0005623]; centriolar satellite [GO:0034451]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrion [GO:0005739]","cell [GO:0005623]; centriolar satellite [GO:0034451]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrion [GO:0005739]; ATP-dependent protein binding [GO:0043008]; calcium-independent phospholipase A2 activity [GO:0047499]; calmodulin binding [GO:0005516]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; protein kinase binding [GO:0019901]; serine hydrolase activity [GO:0017171]; antibacterial humoral response [GO:0019731]; cardiolipin biosynthetic process [GO:0032049]; chemotaxis [GO:0006935]; lipid catabolic process [GO:0016042]; maternal process involved in female pregnancy [GO:0060135]; memory [GO:0007613]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; positive regulation of arachidonic acid secretion [GO:0090238]; positive regulation of blood vessel diameter [GO:0097755]; positive regulation of ceramide biosynthetic process [GO:2000304]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of exocytosis [GO:0045921]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of protein kinase C signaling [GO:0090037]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; regulation of store-operated calcium channel activity [GO:1901339]; response to endoplasmic reticulum stress [GO:0034976]; urinary bladder smooth muscle contraction [GO:0014832]","ATP-dependent protein binding [GO:0043008]; calcium-independent phospholipase A2 activity [GO:0047499]; calmodulin binding [GO:0005516]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; protein kinase binding [GO:0019901]; serine hydrolase activity [GO:0017171]","GO:0001934; GO:0005516; GO:0005615; GO:0005623; GO:0005739; GO:0005829; GO:0006935; GO:0007204; GO:0007613; GO:0014832; GO:0016020; GO:0016042; GO:0017171; GO:0019731; GO:0019901; GO:0032049; GO:0034451; GO:0034976; GO:0035774; GO:0043008; GO:0045921; GO:0047499; GO:0051967; GO:0060135; GO:0090037; GO:0090200; GO:0090238; GO:0097755; GO:0102567; GO:0102568; GO:1901339; GO:2000304","K16343;","mmu:53357;"
"49",855,943,2243,1732,899,1504,248,1741,1058,1145,1062,1158,283,380,978,251,222,583,"g49518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",507,509,777,801,498,454,419,588,763,541,698,626,922,809,1011,611,1020,994,"g50751","E7F9T0",2.4e-163,"MICA1_DANRE","reviewed","[F-actin]-monooxygenase mical1 (EC 1.14.13.225) (Molecule interacting with CasL protein 1) (MICAL-1)","mical1","Danio rerio (Zebrafish) (Brachydanio rerio)",1214,"actin cytoskeleton organization [GO:0030036]; actin filament depolymerization [GO:0030042]; oxidation-reduction process [GO:0055114]; sulfur oxidation [GO:0019417]","cytoplasm [GO:0005737]; filamentous actin [GO:0031941]; microtubule organizing center [GO:0005815]","cytoplasm [GO:0005737]; filamentous actin [GO:0031941]; microtubule organizing center [GO:0005815]; actin binding [GO:0003779]; FAD binding [GO:0071949]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; actin cytoskeleton organization [GO:0030036]; actin filament depolymerization [GO:0030042]; oxidation-reduction process [GO:0055114]; sulfur oxidation [GO:0019417]","actin binding [GO:0003779]; FAD binding [GO:0071949]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]","GO:0003779; GO:0005737; GO:0005815; GO:0016709; GO:0019417; GO:0030036; GO:0030042; GO:0031941; GO:0046872; GO:0055114; GO:0071949","K19947;","dre:568573;"
